type,review_score,total_reviews,review_bucket
Free,0.8431372549019608,51,50-200
Free,0.8613861386138614,101,50-200
Free,0.8959537572254336,865,200-1k
Free,0.44871794871794873,78,50-200
Free,0.7291338582677165,635,200-1k
Free,0.5384615384615384,52,50-200
Free,0.7254740313272877,2426,1k-10k
Free,0.480225988700565,708,200-1k
Free,0.5882352941176471,51,50-200
Free,0.8864628820960698,229,200-1k
Free,0.8233695652173914,368,200-1k
Free,0.9310344827586207,58,50-200
Free,0.9164179104477612,1005,1k-10k
Free,0.9495798319327731,357,200-1k
Free,0.8534145280556764,2299,1k-10k
Free,0.8907035175879398,796,200-1k
Free,0.7906976744186046,301,200-1k
Free,0.9293255763843999,4641,1k-10k
Free,0.6646090534979424,1458,1k-10k
Free,0.952523858111758,16661,10k+
Free,0.7686915887850467,428,200-1k
Free,0.5866666666666667,75,50-200
Free,0.46,50,50-200
Free,0.5405405405405406,148,50-200
Free,0.9423076923076923,52,50-200
Free,0.68,300,200-1k
Free,0.930354033662217,8615,1k-10k
Free,0.8486357730619316,4618,1k-10k
Free,0.933188484519283,1841,1k-10k
Free,0.7115384615384616,52,50-200
Free,0.9245283018867925,53,50-200
Free,0.59375,96,50-200
Free,0.9508196721311475,61,50-200
Free,0.9005567223389006,29997,10k+
Free,0.9072847682119205,151,50-200
Free,0.38954869358669836,421,200-1k
Free,0.7615125421190565,2671,1k-10k
Free,0.923469387755102,196,50-200
Free,0.8387096774193549,124,50-200
Free,0.8989939800412104,74253,10k+
Free,0.9571788413098237,794,200-1k
Free,0.8363636363636363,220,200-1k
Free,0.9330175913396481,1478,1k-10k
Free,0.953125,64,50-200
Free,0.7307692307692307,52,50-200
Free,0.8103448275862069,116,50-200
Free,0.9557109557109557,429,200-1k
Free,0.8169014084507042,71,50-200
Free,0.8358377160030053,5324,1k-10k
Free,0.859375,64,50-200
Free,0.8953703703703704,1080,1k-10k
Free,0.9655172413793104,551,200-1k
Free,0.5443037974683544,237,200-1k
Free,0.6033057851239669,121,50-200
Free,0.5169491525423728,118,50-200
Free,0.6296296296296297,54,50-200
Free,0.8549488054607508,1758,1k-10k
Free,0.95,280,200-1k
Free,0.8333333333333334,54,50-200
Free,0.7540983606557377,61,50-200
